# code<TAB>method<TAB>characters; membership only, not ranking
fung	cantonese	奉封風鋒逢峰烽豐楓諷縫俸馮蜂瘋鳳蓬篷峯丰灃唪
fut	cantonese	乏彿忽弗伐囫拂佛髮罰閥筏惚氟狒窟笏琺砝芾
ga	cantonese	加假價家駕嘉嫁咖架㗎珈傢賈稼茄伽袈迦痂枷葭嘎噶喀
gaai	cantonese	解佳皆界介屆尬戒階楷偕誡街芥𠝹鎅价疥蚧
gaak	cantonese	格隔革膈鎘胳骼緙嗝
gaam	cantonese	減鑑鑒監尷橄緘淦
gaan	cantonese	簡間艱奸諫揀菅柬姦澗繭鹼梘鐧癇筧
gaang	cantonese	更耕
gaap	cantonese	夾甲頰鴿革蛤鉀胛岬舺匣浹
gaau	cantonese	較交教狡郊搞校攪膠姣佼皎跤覺絞蛟餃骹鮫鉸茭窖滘飫
gai	cantonese	計繼雞偈髻薊鷄
gak	cantonese	隔格革膈胳鎘緙
gam	cantonese	今感敢禁金甘咁錦噤柑噉㩒撳淦泔贛
gan	cantonese	近僅跟緊根謹饉殣巾斤筋觔巹瑾覲槿艮
gang	cantonese	更梗耿羹庚賡哽鯁亙埂
gap	cantonese	急𥄫鴿蛤岌敆
gat	cantonese	吉桔疙訖曱拮趷㓤
gau	cantonese	夠究九久舊疚咎苟救糾灸狗詬垢嚿柩枸韭玖鳩尻𨳊廄鈎篝鬮佝搆
geh	cantonese	嘅痂
gei	cantonese	記技己既嘅幾機基肌紀羈忌寄覬譏杞碁璣飢饑妓箕萁几磯嘰畿姬乩伎奇犄麂
geng	cantonese	頸鏡驚猄麖儆擏
geuh	cantonese	鋸啹噱
geuk	cantonese	腳脚噱
geung	cantonese	薑疆僵殭韁姜羗羌礓
gi	cantonese	嘰
gik	cantonese	極激擊棘戟撠亟殛
gim	cantonese	兼檢儉劍蒹撿鶼
gin	cantonese	件建見堅健鍵肩乾虔蹇腱掮毽鰹
ging	cantonese	經勁竟競驚警景矜境敬憬京徑荊剄儆莖脛逕涇兢痙璟輘
gip	cantonese	劫澀喼篋狹硤
git	cantonese	結潔傑頡揭杰竭歇鍥拮詰訐蝎蠍羯桀愒孑挈擷黠
giu	cantonese	矯驕叫繳撬嬌轎蹻澆
go	cantonese	告高稿膏糕篙羔睾睪皋槁
goh	cantonese	個嗰歌哥箇戈哿
goi	cantonese	改該蓋賅閡
gok	cantonese	各角覺擱閣玨桷
gon	cantonese	趕幹乾肝干桿杆竿稈榦赶扞擀
gong	cantonese	江降剛港崗講綱鋼岡缸肛槓杠罡䚗螯
goo	cantonese	估故固鼓股顧僱孤古辜姑沽蠱錮菇雇鴣菰咕牯罟鈷蛄酤痼
goon	cantonese	管觀冠貫官灌罐館棺莞倌盥鸛
got	cantonese	割轕葛噶
guen	cantonese	券捐倦捲娟卷眷鵑絹涓狷
guet	cantonese	橛劂
gui	cantonese	舉據具巨車句居懼矩鉅据踞倨炬櫸鋸蒟颶齲瞿莒啹崌苣詎擧遽
guk	cantonese	局谷侷菊穀鵠焗掬跼鞠麴麯唂梏
gun	cantonese	近僅跟緊根謹饉殣巾斤筋觔瑾
gung	cantonese	功公共工供攻鞏拱弓恭貢躬龔宮槓蚣芎㧬贛
gwa	cantonese	掛寡瓜卦啩呱轇挂罣
gwaai	cantonese	怪乖拐柺枴蚧
gwaak	cantonese	摑
gwaan	cantonese	關慣摜躀綸鰥瘝
gwaang	cantonese	哐梗
gwaat	cantonese	刮颳㩿
gwai	cantonese	貴季歸軌悸詭餽饋鬼跪桂瑰閨櫃柜龜簋簣皈硅鮭珪圭晷癸匱匭
gwan	cantonese	均君軍鈞筠滾郡棍莙
gwang	cantonese	轟觥揈輷
gwat	cantonese	倔骨崛掘窟滑橘譎𥇣汩鶻榾
gweh	cantonese	𠺌
gwik	cantonese	隙闃虢
gwing	cantonese	炯炅迥囧
gwoh	cantonese	戈果過裹粿菓
gwok	cantonese	國郭幗廓蟈槨
gwong	cantonese	廣光胱桄獷
gwui	cantonese	攰
ha	cantonese	下吓哈夏廈霞暇瑕遐蝦蛤嗄鉿
haai	cantonese	懈諧邂孩械揩駭鞋骸蟹兮嗨嚡瀣
haak	cantonese	客嚇赫喀唬
haam	cantonese	涵函銜喊餡鹹咸啣頷
haan	cantonese	限閒慳嫺嫻閑僩癇
haang	cantonese	坑夯行桁
haap	cantonese	匣呷挾狹狎頰俠峽莢篋掐
haau	cantonese	效校考巧傚敲酵孝吼哮烤拷姣効
hai	cantonese	係喺孩械邂懈諧繫揩鞋系奚駭骸蟹兮嗨閪屄徯
hak	cantonese	克刻客黑嚇赫可剋氪緙
ham	cantonese	含陷堪嵌憾撼坎砍勘冚瞰磡扻戡龕蚶酣憨崁磕邯
han	cantonese	很恨狠限痕閑閒嫻墾懇癇
hang	cantonese	行幸肯恆恒亨恨狠倖杏哼痕莖墾衡懇鏗啃珩蘅姮桁枑悻
hap	cantonese	合恰洽盒俠瞌闔烚峽溘磕
hat	cantonese	核轄乞瞎劾齕檄楬閡
hau	cantonese	口巧候後效校考厚后逅傚敲酵吼孝哮烤拷喉侯猴鱟堠篌覷
hei	cantonese	希起棄喜豈欺稀氣器戲犧欷憩汽唏嬉嘻曦晞囍禧羲烯熙嘿僖熹餼
hek	cantonese	吃
heng	cantonese	輕
heuh	cantonese	靴噓
heung	cantonese	向香享響嚮鄉餉晌饗响
him	cantonese	欠險謙芡
hin	cantonese	顯獻遣掀衍牽譴繾軒憲蜆騫縴搴褰愆芡䘆讞攐
hing	cantonese	輕慶興兄卿氫罄馨㷫磬烴脛
hip	cantonese	協脅歉怯挾愜慊勰
hit	cantonese	歇挈愒
hiu	cantonese	曉僥竅囂澆驍橇梟繑蹺翹鴞
ho	cantonese	可好耗號浩毫何苛河呵荷賀豪壕嚎皓濠蠔顥灝犒蒿嗥皞昊淏鎬坷訶
hoh	cantonese	可何賀苛河呵荷坷訶蚵哿
hoi	cantonese	開海害凱亥氦愷嗨骸頦鎧剴
hok	cantonese	學殼鶴貉
hom	cantonese	含陷堪嵌憾撼瞰勘砍坎磡戡蚶啣頷憨
hon	cantonese	看捍悍汗旱刊罕寒漢韓鼾瀚焊銲翰侃扞邯頇
hong	cantonese	行降康項慷腔吭杭巷航烘糠眶匡香筐框誆洭哐䆲鱇桁沆
hop	cantonese	合恰洽盒俠瞌闔
hot	cantonese	喝渴褐曷暍鞨㓤
hou	cantonese	口厚候喉猴吼侯
huen	cantonese	勸圈渲犬券喧絢綣烜萱禤暄煖楦昍䘆
huet	cantonese	血
hui	cantonese	去許虛歔噓栩墟詡煦吁祛
huk	cantonese	哭酷鵠斛槲觳
hum	cantonese	含陷堪嵌憾撼瞰勘砍坎磡戡龕蚶
hung	cantonese	空紅洶恐控胸哄雄洪熊虹凶孔兇鬨訌匈汞烘鴻崆黌葒吽芎蕻
hur	cantonese	噓
ip	cantonese	葉
ja	cantonese	詐搾榨咋炸渣乍喳楂揸痄吒蚱咱蜡鮓柞砟拃碴髽
jaai	cantonese	債寨齋砦晢
jaak	cantonese	責擇摘擲窄宅澤翟嘖謫砸笮睪
jaam	cantonese	暫站湛嶄斬眨蹔䁪蘸簪糌劖
jaan	cantonese	讚贊賺撰綻盞棧饌趲攢
jaang	cantonese	爭睜踭掙𧶄
jaap	cantonese	習集雜襲閘什眨鍘砸咂鈒
jaat	cantonese	紮札扎軋鍘
jaau	cantonese	找肘驟嘲抓爪罩帚棹
jai	cantonese	製濟際制祭滯躋擠仔劑掣囝霽
jak	cantonese	則側仄昃鰂
jam	cantonese	怎針枕浸斟箴砧朕鴆譖噆椹葚
jan	cantonese	真振陣珍賑震鎮圳䟴胗畛縝
jang	cantonese	增爭贈曾僧憎掙睜箏諍猙崢錚琤噌𤺧鬙
jap	cantonese	執汁
jat	cantonese	質窒嫉侄姪疾躓蛭蟄甴桎蒺枳騭
jau	cantonese	就走周袖紂晝咒週宙州舟洲奏酒皺帚鄒謅縐啾僦
je	cantonese	者這借謝姐姊遮傘嗟蔗鷓鍺啫嗻
jek	cantonese	隻炙脊瘠蓆鶺
jeng	cantonese	井淨鄭阱正凈丼精
jer	cantonese	啫
jeuk	cantonese	著着酌雀鵲爵嚼勺妁焯桌棹淖斫
jeung	cantonese	將像張長仗章掌脹獎彰象漲障賬悵樟匠丈杖槳漿璋橡醬帳蔣瘴蟑漳嶂幛獐
ji	cantonese	只指支自知至止之字致緻置智誌資諮紙志子仔咫旨址孜姊枝治姿滋趾稚紫質摯輊肢吱脂飼嗣祉茲芝孳寺痣痔籽芷梓錙蜘祇祀巳眥咨酯滓螆枳雉伺黹貲贄笫梔胝訾
jik	cantonese	即直值績積藉席籍夕寂織職蹟跡迹矽植殖則稷汐鯽漬蟄蓆瘠跖蹠癪騭鬩睪鶺
jim	cantonese	佔漸瞻沾尖臢詹占霑粘櫼
jin	cantonese	戰展薦荐剪箋箭賤餞氈輾煎墊闡顫蹇搌碾膻羶蹍𦟌翦湔顜戔
jing	cantonese	整靜精證正晶証政淨徵偵征症剩蒸貞睛靖菁禎幀怔凈癥阱丼旌
jip	cantonese	接摺浹輒囁楫褶
jit	cantonese	截節捷折哲浙睫唧婕倢蜇踅晢𡁶摰櫛擳喆
jiu	cantonese	招朝照召椒礁焦剿勦沼趙蕉醮摷詔炤𡁻曌鷦
jo	cantonese	做造組早遭租皂祖蹧灶棗糟藻蚤祚竈
joh	cantonese	助坐左咗阻佐座詛俎唑
joi	cantonese	再在栽載災宰哉滓
jok	cantonese	作昨鑿酢擢濯
jong	cantonese	裝撞狀壯粧妝莊葬樁藏贓臟髒庄奘
ju	cantonese	主註注著住珠煮諸株朱誅豬駐鑄蛀侏銖硃蛛茱
jue	cantonese	主註注著住珠煮諸株朱誅豬駐鑄蛀炷侏銖硃蛛茱箸櫫
juen	cantonese	專轉尊鑽磚傳纂湍撙攢鐫
juet	cantonese	絕拙咄綴輟啜吮茁絀掇
jui	cantonese	最追序咀沮敘罪綴聚嘴墜醉狙椎錐贅嶼齟疽蛆敍蕞隹懟惴雎
juk	cantonese	續觸俗足逐囑矚捉竹祝築粥族軸濁燭鐲瀆贖妯筑竺鏃躅
jum	cantonese	怎針枕浸斟寢箴砧朕
jun	cantonese	盡進準儘遵俊樽津准峻蹲晉燼竣臻駿浚雋隼榛縉濬鐫
jung	cantonese	中重種鐘總終綜眾仲宗忠訟腫頌鍾縱蹤踪盅棕粽淙舂誦鬃糭糉踵
jut	cantonese	卒黜捽怵
ka	cantonese	加假家嘉卡傢嫁咖珈賈稼茄伽袈迦葭喀咔旮尕
kaai	cantonese	楷㷫
kaak	cantonese	緙
kaang	cantonese	啃
kaat	cantonese	卡咭
kaau	cantonese	靠銬
kai	cantonese	解皆佳啟計界介階尬戒屆楷偕契稽繼溪誡街芥雞价蹊疥鍇谿
kak	cantonese	隔格革膈胳鎘緙㩿
kam	cantonese	今感禁敢金錦襟衾琴甘柑冚淦禽擒咁妗噤琹蠄檎
kan	cantonese	近僅間跟緊簡根艱謹勤饉殣巾斤奸諫揀芹姦筋柬澗繭鹼觔瑾懃鄞靳
kang	cantonese	更梗耕耿羹庚賡哽鯁啃亙
kap	cantonese	給及吸級岌汲笈夾甲頰鉀鈒扱
kar	cantonese	假價卡架駕嫁咖賈稼
kat	cantonese	咳
kau	cantonese	購求九構夠究久扣咎疚灸糾救溝摳詬垢球叩臼銬狗苟寇釦舊逑裘媾舅蔻鳩枸佝韭俅玖璆搆毬
ke	cantonese	騎茄瘸
kee	cantonese	既記基寄
keh	cantonese	騎茄瘸
kei	cantonese	其奇期歧機旗棋企耆祈暨琪崎琦基覬寄畸祺淇冀騎碁姬麒鰭蹊祁磯芪萁驥騏蜞錡圻岐
kek	cantonese	劇屐乪
keuk	cantonese	卻噱
keung	cantonese	強强鏹襁薑疆韁僵殭姜礓
